val\COCO_val2014_000000000133.jpg	maps\val\COCO_val2014_000000000133.png
val\COCO_val2014_000000000164.jpg	maps\val\COCO_val2014_000000000164.png
val\COCO_val2014_000000000192.jpg	maps\val\COCO_val2014_000000000192.png
val\COCO_val2014_000000000196.jpg	maps\val\COCO_val2014_000000000196.png
val\COCO_val2014_000000000208.jpg	maps\val\COCO_val2014_000000000208.png
val\COCO_val2014_000000000257.jpg	maps\val\COCO_val2014_000000000257.png
val\COCO_val2014_000000000387.jpg	maps\val\COCO_val2014_000000000387.png
val\COCO_val2014_000000000397.jpg	maps\val\COCO_val2014_000000000397.png
val\COCO_val2014_000000000520.jpg	maps\val\COCO_val2014_000000000520.png
val\COCO_val2014_000000000569.jpg	maps\val\COCO_val2014_000000000569.png
val\COCO_val2014_000000000589.jpg	maps\val\COCO_val2014_000000000589.png
val\COCO_val2014_000000000675.jpg	maps\val\COCO_val2014_000000000675.png
val\COCO_val2014_000000000692.jpg	maps\val\COCO_val2014_000000000692.png
val\COCO_val2014_000000000711.jpg	maps\val\COCO_val2014_000000000711.png
val\COCO_val2014_000000000715.jpg	maps\val\COCO_val2014_000000000715.png
val\COCO_val2014_000000000761.jpg	maps\val\COCO_val2014_000000000761.png
val\COCO_val2014_000000000810.jpg	maps\val\COCO_val2014_000000000810.png
val\COCO_val2014_000000000939.jpg	maps\val\COCO_val2014_000000000939.png
val\COCO_val2014_000000000987.jpg	maps\val\COCO_val2014_000000000987.png
val\COCO_val2014_000000001000.jpg	maps\val\COCO_val2014_000000001000.png
val\COCO_val2014_000000001270.jpg	maps\val\COCO_val2014_000000001270.png
val\COCO_val2014_000000001342.jpg	maps\val\COCO_val2014_000000001342.png
val\COCO_val2014_000000001369.jpg	maps\val\COCO_val2014_000000001369.png
val\COCO_val2014_000000001532.jpg	maps\val\COCO_val2014_000000001532.png
val\COCO_val2014_000000001561.jpg	maps\val\COCO_val2014_000000001561.png
val\COCO_val2014_000000001573.jpg	maps\val\COCO_val2014_000000001573.png
val\COCO_val2014_000000001599.jpg	maps\val\COCO_val2014_000000001599.png
val\COCO_val2014_000000001668.jpg	maps\val\COCO_val2014_000000001668.png
val\COCO_val2014_000000001675.jpg	maps\val\COCO_val2014_000000001675.png
val\COCO_val2014_000000001700.jpg	maps\val\COCO_val2014_000000001700.png
val\COCO_val2014_000000001799.jpg	maps\val\COCO_val2014_000000001799.png
val\COCO_val2014_000000002006.jpg	maps\val\COCO_val2014_000000002006.png
val\COCO_val2014_000000002124.jpg	maps\val\COCO_val2014_000000002124.png
val\COCO_val2014_000000002153.jpg	maps\val\COCO_val2014_000000002153.png
val\COCO_val2014_000000002154.jpg	maps\val\COCO_val2014_000000002154.png
val\COCO_val2014_000000002179.jpg	maps\val\COCO_val2014_000000002179.png
val\COCO_val2014_000000002302.jpg	maps\val\COCO_val2014_000000002302.png
val\COCO_val2014_000000002346.jpg	maps\val\COCO_val2014_000000002346.png
val\COCO_val2014_000000002434.jpg	maps\val\COCO_val2014_000000002434.png
val\COCO_val2014_000000002640.jpg	maps\val\COCO_val2014_000000002640.png
val\COCO_val2014_000000002822.jpg	maps\val\COCO_val2014_000000002822.png
val\COCO_val2014_000000002839.jpg	maps\val\COCO_val2014_000000002839.png
val\COCO_val2014_000000003001.jpg	maps\val\COCO_val2014_000000003001.png
val\COCO_val2014_000000003067.jpg	maps\val\COCO_val2014_000000003067.png
val\COCO_val2014_000000003091.jpg	maps\val\COCO_val2014_000000003091.png
